Market,Latitude,Longitude
Ahmedabad,23.0215374,72.5800568
Ahmedabad(Chimanbhai Patal Market Vasana),22.99737881,72.53610454
"Ahmedabad(Fruit Market, Naroda)",23.05096765,72.62564397
Ahmedabad(Manekchowk),23.02331352,72.59034914
Ahmedabad(Rajnagar sub yard),23.02241659,72.58432628
Bavla,22.8278859,72.3684741
Dhandhuka,22.3816365,71.9791414
Dholka,22.726607,72.4411863
Dholka(Koth),22.63777689,72.30177442
Dholka(Market Yard Veg),22.71935111,72.43831967
Mandal,23.2883831,71.9178854
Rampura,23.8695009,72.0189722
Ranpur,22.3598858,71.7169084
Sanad,23.09667607,72.10871503
Viramgam,23.1224522,72.0483946
